mean	variance	variance.expected	variance.standardized
Hbb-bs	8.53789104638619	23621.8596564553	155.71550606084	25.3365825802157
Hba-a1	8.53546386192017	24357.9644872561	155.62054077475	24.9133257327358
Acta2	0.470199568500539	21.608821861718	0.921335438807607	22.5672734760569
Lyz2	0.391046386192017	17.322180105198	0.720444676568376	22.1858790306848
Ptgds	7.07510787486516	3404.88835669773	104.497838090561	19.1542496077178
Hbb-bt	1.0918284789644	526.871269697347	3.28886257562733	18.1193906440923
Sst	0.656283710895361	217.05230845301	1.49387793809486	15.4044089349339
Vip	0.29759978425027	40.9327305834335	0.504602106670748	14.6082693608044
Dcn	0.191208198489752	5.85257812198807	0.291186748960055	14.4474687538152
Pf4	0.146709816612729	2.9856210006103	0.209389339679757	14.1077862422677
Gfap	0.293689320388349	6.69512402699854	0.495985633568743	13.4986249073898
Crip1	0.832793959007551	27.3042029007646	2.1548949959674	12.5776892350004
Mgp	0.566612729234088	14.8780975471016	1.20175260644244	12.2485102277067
Npy	0.57861380798274	266.216880397835	1.23908089518497	11.8665191765907
Tagln	0.194039913700108	3.63098807338982	0.296406419312173	11.5121042883094
Ccl4	0.0821197411003236	1.95212259982062	0.107954822560813	11.3906893019925
Klk6	0.190533980582524	3.6803473345161	0.289940733170902	11.1849414444329
1500015O10Rik	0.0591963322545847	1.20391271883213	0.077165623642106	10.9186217524521
Eln	0.109897518878101	2.17632279462095	0.148944782209427	10.8887433375741
Spp1	0.0678263214670982	1.00403012276494	0.0879754711293439	9.76792578903755
Gkn3	0.163430420711974	2.33282836548848	0.239890577614214	9.54354982007742
Yjefn3	0.150755124056095	2.42447144589417	0.216933241837131	9.49596526106245
Cytl1	0.0426105717367853	0.589957526545	0.0557338068120555	9.04952099359342
Cd209f	0.0682308522114347	1.27194540644383	0.0885166305923588	8.94932463170905
Vtn	1.47680690399137	47.4613635586631	5.37344638029581	8.83257414323548
Tac2	0.0637810140237325	2.16464350375816	0.0827371917257427	8.37803820480582
